Theme,Poem_Title,LD_Value
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,6.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.75
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.4
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.6666666666666667
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,4.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.25
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.5
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.6666666666666666
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,3.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,1.5
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,0.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,1.0
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.3333333333333333
Love,The Love Letters of Abelard and Heloise,2.0
Love,The Love Letters of Abelard and Heloise,0.0
